usuario,mes_viaje,cantidad_viajes,duracion_total,distancia_total,atencion_promedio,atencion_promedio_duracion,atencion_promedio_distancia,suavidad_promedio,suavidad_promedio_duracion,suavidad_promedio_distancia,legal_promedio,legal_promedio_duracion,legal_promedio_distancia
6914fc22a2bf90080000bb09,202511,20,22734,20685900,0.846892861,0.908831000696754,0.925847874755461,0.9456514225,0.918561055186065,0.912149815935927,0.991491698333333,0.98425511554177,0.981445743017776
6914fc22a2bf90080000bb09,202512,25,43938,41539900,0.8165034168,0.860608289557558,0.922174943983712,0.948728718,0.935278590454732,0.964988365381958,0.9895925304,0.97406056087669,0.97495061919605
6914fc22a2bf90080000bb09,202601,10,11538,12455400,0.978668266,0.991063797223089,0.995744656201969,0.8784664,0.952464753042122,0.970443143076095,1,1,1
6914fc22a2bf90080000bb09,202602,21,27846,23892600,0.821506164761905,0.859720486780866,0.879961135133137,0.928422863809524,0.919870778972204,0.926413586173334,0.987987324285714,0.975755128875242,0.960321177184861
6914fc22a2bf90080000bb09,202603,25,38934,32216500,0.8826553876,0.935766214331946,0.952731636326168,0.9792049092,0.954329676514101,0.965715606133751,0.977409282,0.978473373462783,0.974760407788555
6914fc22a2bf90080000bb09,202604,6,9828,4965400,0.760808751666667,0.811832221849817,0.820637566318927,0.947638616666667,0.883230552564103,0.872214672805816,0.992466305,0.984064079175824,0.982836497289443
6914fc22a2bf90080000bb09,202605,13,13716,11328700,0.947523976153846,0.962752207244094,0.967147768400169,0.9511720125,0.959876815277778,0.969136483392963,0.991251125833333,0.97978164598916,0.974629149328091
6920dafb8eb2c10800000b37,202603,42,40896,49019500,0.850405893469048,0.888841506764173,0.934670283393219,0.937153729047619,0.934884315660212,0.940419711674476,0.75085023202381,0.737043835618398,0.700139990275207
6920dafb8eb2c10800000b37,202604,16,22698,30164700,0.7554812165,0.788582223955591,0.83701368279294,0.96798158375,0.968913535360825,0.969023140942857,0.875760758125,0.883092570674068,0.872880889470805
6920dafb8eb2c10800000b37,202605,21,32562,37042700,0.832542793809524,0.893588680801548,0.92873219535671,0.891447293333333,0.88662084763958,0.901355843223793,0.830916334736842,0.811996553675214,0.774506013338561
6920e5b43a13660800000b4e,202511,7,11844,14745200,0.959128637142857,0.956231263039514,0.953974400446789,0.96828529,0.96000688381459,0.961095482286371,0.927239607142857,0.907728506656535,0.909216954030871
6920e5b43a13660800000b4e,202512,47,55008,58843100,0.809933402851064,0.812816883451571,0.842544792816215,0.880743116888889,0.903818814497372,0.914109735571312,0.926840234545455,0.918230514400134,0.914222253934681
6920e5b43a13660800000b4e,202601,66,76752,93622300,0.838611544242424,0.848088339969512,0.867728001841196,0.921848550909091,0.924264600527673,0.930110598323679,0.815996260225807,0.786114908319612,0.742469240660254
6920e5b43a13660800000b4e,202602,39,34848,37113700,0.763538858794872,0.784099107430268,0.805525384433999,0.868981166153846,0.903855491317149,0.918856643263539,0.939226353714286,0.946735642998904,0.951805382524915
6900fe050f6bdc080000482f,202510,3,4032,1542800,0.870912213333333,0.820199154285714,0.866209897018408,0.892900776666667,0.90419156625,0.911132099342753,0.950561833333333,0.939085116071429,0.924477656728027
6900fe050f6bdc080000482f,202511,3,1890,812200,0.46306522,0.545244102285714,0.585698369115981,0.865108953333333,0.878398869142857,0.886706163371091,0.79291562,0.799318814285714,0.80367708363211
6900fe050f6bdc080000482f,202512,22,23238,30259100,0.398915769224545,0.570276463395267,0.809785725914249,0.892199930952381,0.918498696046693,0.958399882725976,0.926470542727273,0.690812065468629,0.41052087238477
6900fe050f6bdc080000482f,202601,38,40869,51556900,0.673054743684211,0.800692768156794,0.89897643084338,0.925331355945946,0.950316904632369,0.968024699338191,0.894213525428571,0.669388385464617,0.50193347061577
6900fe050f6bdc080000482f,202602,32,32202,28222600,0.57061946025,0.637333006595864,0.767959391776703,0.8264165928125,0.815426583622135,0.884092621151914,0.92445062625,0.911978933745109,0.904161161426552
6900fe050f6bdc080000482f,202603,22,24012,12154700,0.582281722090909,0.576325520469265,0.630944532130304,0.855441025909091,0.836330156941529,0.846711786416037,0.923881715,0.928088568350825,0.924688215199553
6900fe050f6bdc080000482f,202604,13,14670,5894500,0.524411246923077,0.501635904957055,0.522344192936636,0.894662373076923,0.883332417411043,0.884170635822207,0.898195371538462,0.902626997153374,0.893150493103741
6900fe050f6bdc080000482f,202605,2,1134,468900,0.685653685,0.680664060952381,0.714949769379399,0.80423175,0.805241257142857,0.798304528598848,1,1,1
